Aldridge,Branch,Brannan,Coyne D,Garnett,Higgins,Hughes,Irons,Jones G,Jones M,Kenworthy,Malkin,Martindale,McGreal,Morrissey,Muir,Mungall,Nevin,Nixon,Nolan,O'Brien,Proctor,Thomas,Vickers
8,,3,,,2,,4,,,,9,5,,,,,7,1.0,,,10,11,6.0
8,,3,,,2,,4,,,,9,5,,,,,7,1.0,,,10,11,6.0
8,,3,,,2,,4,,,14,9,5,,,,,7,1.0,12,,10+,11*,6.0
8,,10,,,2,,4,,,,9,5,,,,,7,1.0,3,,,11,6.0
8,,10,,,2,,4,,,14*,9,5,,,12,,7,1.0,3+,,,11,6.0
8,,10,,,2,,4*,,,14,9,5,,,12,,7,1.0,3,,,11+,6.0
,11,10,,6,2,,4,,,7,9,,,,8,5.0,,1.0,3,,,,
8,,10,,6,2,,4,,,,,5,,,9,3.0,7,1.0,,,,11,
8,,10,,6+,2,14,4,,,12,,5,,,9*,3.0,7,1.0,,,,11,
8,,10,,,2*,6,4,,,12,,5,,,9,3.0,7,1.0,,,,11,
8,,4,,6,2,,,,,7,,5,,,9,,10,1.0,3,,,11,
8*,,4,,6,2,,14,,,7+,12,5,,,9,,10,1.0,3,,,11,
,,4,,6,2,,,,,7,8,5,,,9,,10,1.0,3,,,11,
,12,4,,6,2,,8,,,7,9,5*,,,,,10,1.0,3,,,11,
,12,4*,,6,2,,8,,,7,9,5,,,,,10,1.0,3,,,11,
,12,4,,6,2,,8,,,7*,9,5,,,,,10,1.0,3,,,11,
,12,4,,6,2,,5,,,7*,9,,,,8,,10,1.0,3,,,11,
8+,,4*,,,2,,5,,,7,9,12,,,14,,10,1.0,3,,,11,6.0
,14,,,,2,,,,,7+,9,,,,8,5.0,10,1.0,3,,4,11,6.0
,,4,,,2,,,,,7,9,,,,8,,10,1.0,3,,5,11,6.0
,12,4+,1.0,,2,,14,,,7*,9,,,,8,,10,,3,,5,11,6.0
8,,4,1.0,,2,,,,,7,9+,,,14,,,10,,3,,5,11,6.0
,,4,,,2,,9+,14.0,,8,,,,7,,,10,1.0,3,,5,11,6.0
8,,4,,,2,,,,,10,9,,,7,,,,1.0,3,,5,11,6.0
8,,4,,,2,,,,,,9,,,7,,,10,1.0,3,,5,11,6.0
8,,4,1.0,6,2,,,,,,9,,,7,,,10,,3,,5,11,
8,,4,,6,2,,,,,,9,,,7,,,10,1.0,3,,5,11,
8,12,4,,6,2,,11,,,,9,,,7*,,14.0,10,1.0,3,,5+,,
8*,12,4,,6,2,,11,,,,9,,,7,,,10,1.0,3,,5,,
,8,4,,6,2,,,,,,9,,,7,,,10,1.0,3,,5,11,
,8,4,,6,2,,,,,,9,,,7,,,10,1.0,3,,5,11,
,8+,4,,6,2,,12,,,14,9,,,7,,,10,1.0,3,,5*,11,
,12,4,,6,2,,8,,,,9,,,7,,,10,1.0,3,,5*,11,
8,,4,,,2+,6*,11,,,,9,12,14.0,7,,5.0,10,1.0,3,,,,
8,,4,,,2,,12,,,,9,,6.0,7,,5.0,11,1.0,3*,10,,,
8,,4,,,2,5,12,,,,9,,,7,,,10*,1.0,3,6,,11,
8,,4,,,2+,5,12,,,,9,,,7,,14.0,10,1.0,3*,6,,11,
8,,4,14.0,,2,5,,,,,9,,,7,,3.0,10+,1.0,,6,,11,
8,,4,,,,5,7,,,,9,,2.0,,,,10,1.0,3,6,,11,
8,,4,,11,,5,7,,,,9,,2.0,,,,10,1.0,3,6,,,
8,,4+,1.0,,2,5,7,,,,9,,11.0,,,14.0,10,,3,6,,,
8,,4,,,2,5+,7,,,,9,,11.0,12,,,10*,1.0,3,6,,14,
8,,4,,,2,5*,14,,,,9+,,7.0,12,,,10,1.0,3,6,,11,
8,,4,,7,2,5*,9+,12.0,,,,,,14,,,10,1.0,3,6,,11,
8,,4,,5,2,,,9.0,,,,,,7,,,10,1.0,3,6,,11,
8,,4,,5,2,,,9.0,,,,,,7,12,,10*,1.0,3,6,,11,
8,,4,,5+,2,,9,,,,,,,7,,14.0,10,1.0,3,6,,11,
8,,4,,,2,,9+,,,,,,5.0,7,,14.0,10,1.0,3,6,,11,
8,,4,,,2,,9,,,,,,5.0,7,,,10,1.0,3,6,,11,
8*,,4,,5,,,9,12.0,,,,,2.0,7,,,10,1.0,3,6,,11,
8*,,4,,5,,,9,12.0,,,,,2.0,7,,,10,1.0,3,6,,11,
,,4,,5,,,9,,,,,,2.0,7,8,,10,1.0,3,,6,11,
8*,,4,,5,,,9,,,,,,2.0,7,12,,10,1.0,3,,6,11,
8,,4,,5,,,9,,,,,,2.0,7,,,10,1.0,3,6,,11,
8,7*,4,,5,,,9,,,,,,2.0,,12,,10,1.0,3,6,,11,
8,7,4,,5,,,9,,,,,,2.0,,12,11.0,10,1.0,3,6*,,,
8,7+,4,,5,,,9,,,,,,2.0,,14,,10,1.0,3,6,,11,
8,,4,,5,,,9+,,,,,,2.0,7,14,,10,1.0,3,6,,11,
8,,4,,5,,,9*,,14.0,,,,2.0,7,12,,10+,1.0,3,6,,11,
